canonical_name,vendor,product_type,parent
SAP Concur,SAP,productivity,
SAS Analytics,SAS,data_analytics,
SBA GovCon Match,SBA,data_analytics,
SEA-CROGS,DOE,scientific_ml,
SEC FOIA Form Extraction,SEC / GDIT,document_ai,
SITE Intelligence Group,SITE,threat_intel,
SQL Server Management Studio,Microsoft,developer_tool,Microsoft
SRNS AI Drafting Assistant,Savannah River Nuclear Solutions,general_llm,
SRNS AI Form and Questionnaire Assistant,Savannah River Nuclear Solutions,general_llm,
SRNS AI Tailored Learning,Savannah River Nuclear Solutions,training,
SRNS Computer Vision Defect Detection,Savannah River Nuclear Solutions,computer_vision,
SRNS Operational Efficiency ML,Savannah River Nuclear Solutions,data_analytics,
SSA Quick Disability Determinations Model,SSA / IBM,clinical_decision_support,
SWBTRAC,DOJ,data_analytics,
Salesforce,Salesforce,productivity,
Salesforce Einstein,Salesforce,ml_platform,Salesforce
Scopus AI,Elsevier,scientific_ml,
ScreenPoint Transpara,ScreenPoint Medical,clinical_decision_support,
SentinelOne,SentinelOne,security_tool,
ServiceNow,ServiceNow,itsm,
ServiceNow AI Search,ServiceNow,other,
ServiceNow IT Operations Management (ITOM) Predictive AIOps,ServiceNow,itsm,ServiceNow
ServiceNow Now Assist,ServiceNow,productivity,ServiceNow
Shabash Merops,Shabash,nlp,
ShotSpotter,SoundThinking,audio_analysis,
Siemens ACUSON Sequoia,Siemens Healthineers,clinical_decision_support,
Siemens Biograph PET/CT,Siemens Healthineers,clinical_decision_support,
Siemens MAGNETOM,Siemens Healthineers,clinical_decision_support,
Siemens SOMATOM go.,Siemens Healthineers,clinical_decision_support,
Siemens YSIO Max,Siemens Healthineers,clinical_decision_support,
Siemens syngo,Siemens Healthineers,clinical_decision_support,
SimplyFile,TechHit,productivity,
Skillsoft Percipio CAISY,Skillsoft,training,
Skydio X2D,Skydio,physical_security,
Skyward CEDAR/CLAW,Skyward IT Solutions,agent_platform,
Slack,Salesforce,productivity,Salesforce
Smiths Detection TruNarc,Smiths Detection,forensics,
Snowflake Cortex,Snowflake,ml_platform,
Solventum 360 Encompass,Solventum (3M Health Information Systems),document_ai,
Sonic Incytes Velacur,Sonic Incytes,clinical_decision_support,
Splunk,Splunk,security_tool,
Spokeo,Spokeo,investigative_data,
Sprinklr,Sprinklr,social_listening,
Sprout Social,Sprout Social,productivity,
SpyglassGPT,Unknown,general_llm,
State Department AI Research Engine (AIRE),State Department / Deloitte,general_llm,
State Department Declassification Review AI,State Department / Deloitte,document_ai,
State Department WHA/EX Information Management,State Department / Microsoft,general_llm,
State Department Walter Support Bot,State Department / Microsoft,general_llm,
State FACTS Info Foreign Assistance NLP,State Department / Guidehouse,nlp,
State Integrated Country Strategy Turbo,State Department / Guidehouse,nlp,
State LCALA Consular Language Augmentation,State Department / Microsoft,translation,
State NIV Adjudication Review Recommendation Engine,State Department / Guidehouse,data_analytics,
SumTotal,SumTotal,training,
Supportbench,Supportbench,itsm,
Synthesia,Synthesia,computer_vision,
Systran Translate,Systran,translation,
TLOxp,TransUnion,investigative_data,
TRM Labs Blockchain Analysis Platform,TRM Labs,blockchain_analytics,
TVEyes Media Monitoring,TVEyes,media_analysis,
Tableau,Salesforce,ml_platform,Salesforce
Tabnine,Tabnine,coding_assistant,
Techsmith Audiate,TechSmith,media_analysis,
TekSynap SimplifAI,TekSynap,general_llm,
Tenable,Tenable,security_tool,
TeraRecon iNtuition,TeraRecon (ConcertAI),clinical_decision_support,
Tesseract OCR,Open Source,document_ai,
Thomson Reuters,Thomson Reuters,legal_research,
Thomson Reuters CLEAR,Thomson Reuters,data_analytics,Thomson Reuters
ThruVision TAC 16,ThruVision,physical_security,
ThruWave NII 3D Imaging Tool,ThruWave,physical_security,
Topaz CryoEM,Open source,scientific_ml,
Traffic Jam,Marinus Analytics,investigative_data,
TransUnion TLOxp,TransUnion,data_analytics,
Traveler Verification Service,U.S. Customs and Border Protection,biometrics,
Trunet Biometrics,Advanced Technologies Group,biometrics,
Truview,Advanced Technologies Group,data_analytics,
USAi (GSA),GSA,general_llm,
USCIS Customer Profile Management System Facial Recognition,U.S. Citizenship and Immigration Services,biometrics,
USCIS Text Analytics,U.S. Citizenship and Immigration Services,nlp,
USCIS Verification Match Model,U.S. Citizenship and Immigration Services,nlp,
USDA ARS GovChat,USDA ARS / Microsoft,general_llm,
USDA AgCloud Helpdesk Chatbot,USDA / Steampunk,general_llm,
USDA Automated Road Mapping,USDA Forest Service / RedCastle Resources,other,
USDA Bugnet,USDA Forest Service / Oregon State University,computer_vision,
USDA Equine Operations Dataset,USDA / Colorado State University,scientific_ml,
USDA FSA FLP Chatbot,USDA / AWS,general_llm,
USDA Forest Health ML Survey,USDA Forest Service / Kikaha Solutions,scientific_ml,
USDA Forest Plan Review AI,USDA Forest Service / Google,general_llm,
USDA Forest Service Infosec Chatbot,USDA Forest Service / Google,general_llm,
USDA Marbled Murrelet Habitat Mapping,USDA Forest Service / American Museum of Natural History,scientific_ml,
USDA NASSportal Intranet Agent,USDA NASS / Microsoft,agent_platform,
USDA NRCS NETS Automated Waterway Design,USDA NRCS / Spatial Front,scientific_ml,
USDA Oregon State Forest Mapping,USDA Forest Service / Oregon State University,scientific_ml,
USDA Recreation One Stop AI,USDA Forest Service / Booz Allen,general_llm,
USDA Recreation Site Chatbot,USDA Forest Service / University of Washington,general_llm,
USDA TreeSearch AI,USDA Forest Service / Google,search,
USDA VegScape/CropCASMA,USDA NASS / George Mason University,scientific_ml,
USGS Flow Photo Explorer,USGS / Walker Environmental Research,scientific_ml,
UiPath Enterprise RPA,UiPath,rpa,
Ultralytics YOLO,Ultralytics,computer_vision,
Unison PRISM,Unison,supply_chain,
UpToDate,Wolters Kluwer,clinical_decision_support,
Upstream Tech HydroForecast,Upstream Tech,scientific_ml,
VA AI Assist,U.S. Department of Veterans Affairs,nlp,
VA Clinical AI Agent,U.S. Department of Veterans Affairs,transcription,
VA E2 HelpBot,U.S. Department of Veterans Affairs,nlp,
VA GPT,VA,general_llm,
VA VoiceBot,U.S. Department of Veterans Affairs,nlp_specific,
VAO Ally,GSA,agent_platform,
VUNO Med-DeepBrain,VUNO,clinical_decision_support,
Vectra AI,Vectra Networks,security_tool,
Verathon BladderScan Prime PLUS,Verathon,clinical_decision_support,
Veritone,Veritone,media_analysis,
Veritone Digital Media Hub,Veritone,other,
Veritone Illuminate,Veritone,media_analysis,Veritone
Verkada,Verkada,physical_security,
Visual Studio,Microsoft,developer_tool,Microsoft
Visual Studio Enterprise,Microsoft,developer_tool,Visual Studio
VoiceAtlas,Navteca,general_llm,
Volpara Imaging,Volpara Health,clinical_decision_support,
Volta Medical AF-Xplorer,Volta Medical,clinical_decision_support,
Vyond,Vyond,media_analysis,
Washington Forest Inventory Maps,USDA Forest Service / University of Washington,scientific_ml,
WellSaid Labs,WellSaid Labs,nlp_specific,
Welldoc BlueStar,Welldoc,clinical_decision_support,
Westlaw AI,Thomson Reuters,legal_research,Thomson Reuters
Whiterabbit.ai WRDensity,Whiterabbit.ai,clinical_decision_support,
Whooster,Whooster,data_analytics,
Wildfire.org Turbo Plan,Wildfire.org,general_llm,
Windsurf,Codeium,coding_assistant,
Wiz,Wiz,security_tool,
Worker PLUS,Department of Labor,data_analytics,
Yurts AI,Legion (formerly Yurts),general_llm,
Zeiss CLARUS,Carl Zeiss Meditec,clinical_decision_support,
Zendesk AI,Zendesk,itsm,
Zoom,Zoom,productivity,
Zscaler,Zscaler,security_tool,
crYOLO,Open Source,scientific_ml,
cryoDRGN,Open Source,scientific_ml,
iCAD ProFound AI,iCAD,clinical_decision_support,
iCatalyst RPA,iCatalyst Inc,rpa,
iProov,iProov,biometrics,
iRhythm Zio ECG,iRhythm Technologies,clinical_decision_support,
idiCORE,LexisNexis Risk Solutions,investigative_data,LexisNexis Risk Solutions
reCAPTCHA,Google,security_tool,Google
